date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:10:55	593019/593019	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:8ed164388a0abb20ce2e19a461edf94b%22	../../../Index.html	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/pages/inicio.html	(from )
02:10:56	559/559	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:de296f141324b869e66805049d2c8089%22	https://6wripy-n1.myshopify.com/robots.txt		(from )
02:10:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2005:10:56%20GMT	http://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=145227305158328575881746116040	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/cdn/shop/t/2/assets/favicon.1879b.delayed	(from ../../../Index.html)
02:10:57	24118/24118	---M--	200	added ('OK')	image/png	date:Sun,%2004%20May%202025%2005:10:57%20GMT	https://6wripy-n1.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=145227305158328575881746116040	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/cdn/shop/t/2/assets/favicon879b.png	(from ../../../Index.html)
02:10:57	61061/61061	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ee85-zxOu6QS7pek93GMwnU4P2iFfd/Y%22	https://cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/cdn.jsdelivr.net/npm/jsbarcode@3.11.0/dist/JsBarcode.all.min.js	(from ../../../Index.html)
02:10:58	105/105	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2004%20May%202025%2005:10:58%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.4.delayed	(from ../../../Index.html)
02:10:58	19927/19927	---MCZ	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from ../../../Index.html)
02:10:59	89795/89795	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15ec3%22	https://code.jquery.com/jquery-3.6.4.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/code.jquery.com/jquery-3.6.4.min.js	(from ../../../Index.html)
02:10:59	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from ../../../Index.html)
02:10:59	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/code.jquery.com/jquery-3.6.0.min.js	(from ../../../Index.html)
02:11:00	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from ../../../Index.html)
02:11:02	192293/192293	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:c90c3967f24eeaf9ec9a5e9d7e2b28e0%22	https://6wripy-n1.myshopify.com/pages/POST	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/pages/POST	(from ../../../Index.html)
02:11:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2005:11:02%20GMT	http://6wripy-n1.myshopify.com/cdn/s/trekkie.storefront.7dd5a1f776e0762aa90f8d934b8ac8a05d3d42a2.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/cdn/s/trekkie.storefront.7dd5a1f776e0762aa90f8d934b8ac8a05d3d42a2.min.js	(from ../../../Index.html)
02:11:02	102021/102021	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2003%20May%202025%2009:17:58%20GMT	https://6wripy-n1.myshopify.com/cdn/s/trekkie.storefront.7dd5a1f776e0762aa90f8d934b8ac8a05d3d42a2.min.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/cdn/s/trekkie.storefront.7dd5a1f776e0762aa90f8d934b8ac8a05d3d42a2.min.js	(from ../../../Index.html)
02:11:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20May%202025%2005:11:02%20GMT	http://6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-f55dd2979ec32029c7d9e0b454ab8b33f79c01ca039d17a6f5c9b95647564b19.js	C:/Users/User/Downloads/TELANOVAML/TELANOVAML/6wripy-n1.myshopify.com/cdn/shopifycloud/shopify/assets/shop_events_listener-f55dd2979ec32029c7d9e0b454ab8b33f79c01ca039d17a6f5c9b95647564b19.js	(from ../../../Index.html)
